Brand,Product Title,Product Link,MRP,Selling Price,Number of Rating,Star Rating,description,Link of the Images,Number of Images,List of comments,Seller Name
Juniors by Lifestyle,Boys Mid-Rise Cotton Denim Shorts,http://myntra.com//shorts/under+fourteen+only/under-fourteen-only-boys-washed-denim-shorts/21625294/buy,699,629,,,"Product Details  Navy blue & white solid above knee length mid-rise denim shorts, has 4 pockets, button closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Denim Shorts Closure Button Print or Pattern Type Solid Fit Regular Fit Number of Pockets 4 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29043930/2024/4/18/afe20515-c773-4813-a7d2-0dc04815db591713445016568JuniorsbyLifestyleBoysDenimShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29043930/2024/4/18/7496c693-97bc-4571-b2fe-bdc2c4b128291713445016616JuniorsbyLifestyleBoysDenimShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29043930/2024/4/18/db790d37-a742-4f42-957d-160feb7f24f81713445016643JuniorsbyLifestyleBoysDenimShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29043930/2024/4/18/7ba253f0-a9b4-4380-a58d-63b2ff41e28a1713445016590JuniorsbyLifestyleBoysDenimShorts4.jpg']",4,,LANDMARK ONLINE INDIA PVT LTD
BUMZEE,Boys Pack Of 3 Mid-Rise Cotton Shorts,http://myntra.com//shorts/bumzee/bumzee-boys-pack-of-3-mid-rise-cotton-shorts/27530656/buy,1499,674,,,"Product Details  Pack of 3 shorts Lime green solid mid-rise above knee length regular shorts, drawstring closure Orange-coloured abstract printed mid-rise above knee length regular shorts, drawstring closure Off white conversational printed mid-rise above knee length regular shorts, drawstring closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27530634/2024/2/12/b84463a1-3f9b-440e-8afe-91fb621232ca1707719255912BUMZEEBoysPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27530634/2024/2/12/142040e8-db29-4650-955f-4b43e89f3c1a1707719255946BUMZEEBoysPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27530634/2024/2/12/7faa799b-6a6a-4f04-8e48-88b435aa0dca1707719255954BUMZEEBoysPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27530634/2024/2/12/07c67365-e637-47f0-a34a-dab8386fc4671707719255938BUMZEEBoysPrintedShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27530634/2024/2/12/f8360018-e791-4953-a181-557012d3e43c1707719255921BUMZEEBoysPrintedShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27530634/2024/2/12/04c303b2-ac74-47b7-9043-1870d400793a1707719255963BUMZEEBoysPrintedShorts6.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27530634/2024/2/12/7727087c-d87d-42fb-8681-b21895ff67c61707719255930BUMZEEBoysPrintedShorts7.jpg']",7,['Nice one but codtly'],Aum 3 Etail
H&M,Boys Cotton Shorts,http://myntra.com//shorts/h%26m/hm-boys-cotton-shorts/22720282/buy,749,524,9,4.6,"Product Details  Shorts in a soft cotton weave with an easy pull-on, elasticated, drawstring waist, a fake fly and diagonal side pockets. Material & Care 100% Cotton Machine Wash Specifications Waist Rise Low-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22720282/2023/4/10/2fc30ddd-14e0-4ab8-9f68-75b0189477d01681125786080Cottonshorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22720282/2023/4/10/30caaffc-a932-4f9f-9673-d08bcbfa6cd91681125786068Cottonshorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22720282/2023/4/10/9a0ddb17-0e5c-4533-9aa5-6c64ffb96aee1681125786094Cottonshorts3.jpg']",3,"['Very softly shorts for my child ..go ahead nd purchase it', 'Nice colour, nice material', 'Very nice']",H & M Hennes & Mauritz Retail Private Limited
Nauti Nati,Boys Conversational Printed Shorts,http://myntra.com//shorts/zalio/zalio-boys-washed-pure-cotton-denim-shorts/23406194/buy,899,368,15,3.2,"Product Details  White, orange conversational printed mid-rise regular shorts, has 2 pockets, slip-on closure Material & Care Polyester Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Slip-On Print or Pattern Type Conversational Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23600730/2023/10/16/0dd4060f-aafd-4a0c-b997-c5f32520c93d1697444325049NautiNatiBoysConversationalPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23600730/2023/10/16/c06be462-9ac6-48da-b899-4cfbefd57be11697444325055NautiNatiBoysConversationalPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23600730/2023/10/16/5e6d7cf2-0528-4364-bb64-d792608ce6c81697444325062NautiNatiBoysConversationalPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23600730/2023/10/16/1ee5a2c4-709f-48c7-ad23-d390c402d0c61697444325068NautiNatiBoysConversationalPrintedShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23600730/2023/10/16/056f988b-af79-40a6-8020-a23488e224b41697444325074NautiNatiBoysConversationalPrintedShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23600730/2023/10/16/610b0865-7721-49b1-b4f9-affc31c530ba1697444325080NautiNatiBoysConversationalPrintedShorts6.jpg']",6,"['', 'Material I loved it']",Global Retail Ventures LLP
BUMZEE,Infant Pack Of 3 Printed Mid-Rise Cotton Shorts,http://myntra.com//shorts/bumzee/bumzee-infant-pack-of-3-printed-mid-rise-cotton-shorts/22952040/buy,1399,503,23,4.3,"Product Details  Pack of 3 shorts Black & white panda printed mid-rise regular shorts, slip-on closure Yellow panda printed mid-rise regular shorts, slip-on closure White conversational printed mid-rise regular shorts, slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Slip-On Print or Pattern Type Graphic Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22952040/2023/4/29/f333a3b6-9217-492c-8eb4-bbd60967c7321682746732232BUMZEEBoysBlackPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22952040/2023/4/29/9042fdaf-b0c2-4719-af1a-e1ffb6cde64a1682746732257BUMZEEBoysBlackPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22952040/2023/4/29/fe6b1836-9f5f-4973-9e24-f7af3cb15a5f1682746732269BUMZEEBoysBlackPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22952040/2023/4/29/6d66d8f7-3e96-4a16-a19f-15251ebe655c1682746732245BUMZEEBoysBlackPrintedShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22952040/2023/4/29/742654f2-041b-42ed-90f2-547ac13b59fa1682746732216BUMZEEBoysBlackPrintedShorts6.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22952040/2023/4/29/12bb4a93-a8cc-4a5d-989f-d4323c3d13d31682746732201BUMZEEBoysBlackPrintedShorts7.jpg']",6,,Aum 3 Etail
H&M,Boys Pure Cotton Shorts,http://myntra.com//shorts/h%26m/hm-boys-pure-cotton-shorts/22063052/buy,,699,167,4.6,"Product Details  Shorts in a soft cotton weave with an easy pull-on, elasticated, drawstring waist, a fake fly and diagonal side pockets. Material & Care 100% Cotton Only non-chlorine bleach when needed Machine wash at 40deg No dry clean Tumble dry medium High iron Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Striped Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28882578/2024/4/12/b57f8984-df11-43b6-a7c0-a8809710ef621712915602120Cottonshorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28882578/2024/4/12/82981d84-f97c-4db1-b1e6-8fd69a27c03b1712915602165Cottonshorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28882578/2024/4/12/226a6ac2-0b0e-4230-984c-f4b3fb77bfe11712915602190Cottonshorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28882578/2024/4/12/34b88df7-611c-463e-9e9b-0d1017e5174b1712915602140Cottonshorts4.jpg']",4,"['Nice colour, nice material', 'Very nice', 'Very softly shorts for my child ..go ahead nd purchase it']",H & M Hennes & Mauritz Retail Private Limited
MIST N FOGG,Kids Pack of 3 Regular Fit Mid-Rise Cotton Regular Shorts,http://myntra.com//shorts/mist+n+fogg/mist-n-fogg-kids-pack-of-3-regular-fit-mid-rise-cotton-regular-shorts/24859642/buy,1299,363,6,4.5,"Product Details  Green solid mid-rise regular shorts, slip-on closure Pink solid mid-rise regular shorts, slip-on closure Black solid mid-rise regular shorts, slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Slip-On Print or Pattern Type Solid Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24859642/2023/9/7/1860919a-b360-4fd0-8b8f-046b7ec7fd791694088437188MISTNFOGGUnisexKidsMulticolouredShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24859642/2023/9/7/247cf987-050b-47ba-9cb6-de064f3962941694088437230MISTNFOGGUnisexKidsMulticolouredShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24859642/2023/9/7/a3287fe0-d58c-4f8f-aa49-dc48bc76b1b31694088437167MISTNFOGGUnisexKidsMulticolouredShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24859642/2023/9/7/c19ec620-5deb-4e81-ad59-9211ebbe65a71694088437210MISTNFOGGUnisexKidsMulticolouredShorts4.jpg']",4,,VEERAA CLOTHING
Albion,Boys Mid-Rise Scooby-Doo Printed Outdoor Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-conversational-printed-cotton-shorts/27331540/buy,799,559,,,"Product Details  Green Scooby-Doo Printed mid-rise regular shorts, has 3 pockets, drawstring closure Material & Care 90% cotton, 10% elastane Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Humour and Comic Fit Regular Fit Number of Pockets 3 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28637662/2024/4/2/c1ac26f9-be6a-4995-8887-21c3e5357b771712060498601AlbionBoysFloralPrintedOutdoorShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28637662/2024/4/2/141700bf-4256-408c-baab-184d18b72c301712060498626AlbionBoysFloralPrintedOutdoorShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28637662/2024/4/2/df4a7045-4fb5-447b-a9cf-b64da359c5491712060498638AlbionBoysFloralPrintedOutdoorShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28637662/2024/4/2/9255fe59-2c0d-44cf-aca6-e653f010b2311712060498613AlbionBoysFloralPrintedOutdoorShorts4.jpg']",4,,CHUNMUN STORES PVT. LTD.
BAESD,Boys Pack Of 3 Typography Printed Pure Cotton Shorts,http://myntra.com//shorts/baesd/baesd-boys-pack-of-3-typography-printed-pure-cotton-shorts/24546700/buy,799,499,,,"Product Details  Pack of 3 black, blue and grey typography printed mid-rise regular shorts, has 2 pockets, drawstring closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Typography Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28687872/2024/4/4/ae8d7d91-120f-4b0a-ba4d-40c4d35c54a61712228171315BAESDBoysHigh-RiseShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28687872/2024/4/4/2675e7af-064f-4870-8a7e-c9f92fb88b4a1712228171360BAESDBoysHigh-RiseShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28687872/2024/4/4/bde620a4-78ba-423d-bac8-50d621b5208c1712228171386BAESDBoysHigh-RiseShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28687872/2024/4/4/709baba5-a028-4ddf-b213-e91bb78663141712228171335BAESDBoysHigh-RiseShorts4.jpg']",4,,YOGHAN APPARELS
NEXT,Boys Navy Blue Solid Regular Fit Sports Shorts,http://myntra.com//shorts/h%26m/hm-boys-cotton-shorts/22720282/buy,999,439,,,"Product Details  Navy Blue solid mid-rise sports shorts, has two pockets, a drawstring closure Please note that this style will be directly shipped from UK, and might take 14-17 days to be delivered Material & Care 80% Cotton, 20% Polyester Machine-wash Specifications Waist Rise Mid-Rise Length Knee Length Type Sports Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9321771/2019/4/15/d3f3a072-faba-4462-8f75-dfcbb45029341555325301997-next-Boys-Navy-Blue-Solid-Regular-Fit-Sports-Shorts-23015553-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9321771/2019/4/15/47871daa-9ae6-4b96-92ae-e741c2edb4cd1555325301974-next-Boys-Navy-Blue-Solid-Regular-Fit-Sports-Shorts-23015553-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9321771/2019/4/15/3ed95452-1fb7-46c0-9d0f-b25a20ce4bc21555325301955-next-Boys-Navy-Blue-Solid-Regular-Fit-Sports-Shorts-23015553-3.jpg']",3,,Supercom Net
Pantaloons Junior,Boys Mid-Rise Cotton Cargo Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-mid-rise-cotton-cargo-shorts/28485056/buy,,699,37,4.3,"Product Details  Beige solid mid-rise cargo shorts, has 6 pockets, drawstring closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Cargo Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 6 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24657056/2023/8/25/5ee8cbcb-161b-4e8d-add8-4560daa327981692960839000PantaloonsJuniorBoysBeigeShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24657056/2023/8/25/16156bf8-de9a-4257-bd3a-95ac2242df911692960838956PantaloonsJuniorBoysBeigeShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24657056/2023/8/25/46e99f43-ccc6-4feb-8b85-c16801fb8e821692960839022PantaloonsJuniorBoysBeigeShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24657056/2023/8/25/2928e173-d113-4cad-96c2-5f3cf6b9973f1692960838978PantaloonsJuniorBoysBeigeShorts4.jpg']",4,"['Very good product 👍', 'Good 👍', 'Nice fabric\nMoney worthy\nExcellent fitting']",Westbury Holdings Pvt Ltd_Pantaloons
Marks & Spencer,Boys Mid Rise Shorts,http://myntra.com//shorts/the+souled+store/the-souled-store-boys-peppa-pig-sports-shorts/27889084/buy,,799,,,"Product Details  Green solid mid-rise regular shorts,  has 2 pockets, drawstring closure Material & Care 85% cotton, 15% polyester (exclusive of trimmings) Machine wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24452058/2023/8/11/6cfa91f6-c65a-494d-b921-e14cd71f03ba1691733835011MarksSpencerBoysGreenShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24452058/2023/8/11/dc64bc9e-a07c-4752-a456-1bdfc0a149571691733835056MarksSpencerBoysGreenShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24452058/2023/8/11/70133918-afe0-47cf-9ad4-4305473583391691733835034MarksSpencerBoysGreenShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24452058/2023/8/11/dd095273-39ad-4940-afd3-c5943d41a9a91691733834988MarksSpencerBoysGreenShorts4.jpg']",4,,MARKS AND SPENCER RELIANCE INDIA PRIVATE LIMITED
max,Boys Floral Printed Shorts,http://myntra.com//shorts/max/max-boys-sports-shorts/28114206/buy,,499,5,4,"Product Details  Grey floral printed mid-rise regular shorts,  has na pockets, drawstring closure Size & Fit Regular Fit  Material & Care 100% COTTON Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Floral Fit Regular Fit Occasion Casual Knit or Woven Woven See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28114236/2024/3/7/9cd955b3-7853-45d6-9f66-e3618544f0521709816989852maxBoysFloralPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28114236/2024/3/7/5fcd2a90-8775-43aa-91d5-668d999c2cd51709816989926maxBoysFloralPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28114236/2024/3/7/8d382249-90af-4875-9a81-0abf33b64e371709816989888maxBoysFloralPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28114236/2024/3/7/32396e3e-24e4-4070-80e6-8bb9ffd7ff9c1709816989869maxBoysFloralPrintedShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28114236/2024/3/7/a3e33fee-bcef-41cb-b00b-ee161a5e59681709816989907maxBoysFloralPrintedShorts5.jpg']",5,,Landmark Online India Pvt Ltd
Ed-a-Mamma,Boys Black Shorts,http://myntra.com//shorts/ed-a-mamma/ed-a-mamma-boys-pack-of-2-mid-rise-above-knee-regular-shorts/22747352/buy,799,439,13,4.5,"Product Details  Black solid mid-rise regular shorts,  has 2 pockets, drawstring closure Size & Fit Regular Fit  Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18857132/2022/6/24/7382b9f4-452b-4197-89a9-7a8a659805601656072705731Ed-a-MammaSustainablePrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18857132/2022/6/24/4a8c1d50-1b5c-461d-ac26-ea14f48c18c41656072705723Ed-a-MammaSustainablePrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18857132/2022/6/24/cb48c4b4-822f-4de2-8525-3b29231a4ab41656072705739Ed-a-MammaSustainablePrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18857132/2022/6/24/2c831c7c-2461-4153-a226-eca0d8fb474f1656072705749Ed-a-MammaSustainablePrintedShorts4.jpg']",4,,ETERNALIA MEDIA PRIVATE LIMITED
BAESD,Unisex Kids Printed Shorts,http://myntra.com//shorts/baesd/baesd-unisex-kids-printed-shorts/28091050/buy,1499,479,5,4.8,"Product Details  Multicoloured self design printed mid-rise regular shorts,  has na pockets, slip-on closure Size & Fit Regular Fit  Material & Care Denim ,machine wash. Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Slip-On Print or Pattern Type Self Design Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28091050/2024/3/7/26d3db95-d264-4028-ae8d-36d9ed1f76521709814040049BAESDUnisexKidsPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28091050/2024/3/7/ef084e97-2378-493d-862b-1b793c6aea311709814040122BAESDUnisexKidsPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28091050/2024/3/7/e6a8be69-0b0b-4d5c-ab87-08d4201fa3521709814040085BAESDUnisexKidsPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28091050/2024/3/7/700ad473-92da-4e3e-a0b0-505e3bad03821709814040066BAESDUnisexKidsPrintedShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28091050/2024/3/7/05e86525-56f1-4b6e-8525-0e293a1d94bd1709814040104BAESDUnisexKidsPrintedShorts5.jpg']",5,['Product is same as shown in the picture quality is good look is also great👍😊'],KIFAYATI BAZAR
